"Name","Funding","City","Time of Techstar"
"Talio Labs, Inc.","$2,260,000","Seattle","2013 Fall"
"Tangiblee","$830,000","Chicago","2014 Spring"
"Telnyx","$1,010,000","Chicago","2014 Spring"
"TempMine","$10,000","Boston","2009 Spring"
"TempoIQ","$4,080,000","Cloud","2012 Winter"
"Tenacity","$270,000","Sprint",2014
"Testive","$610,000","Boston","2012 Spring"
"Testlio","$200,000","Austin","2013 Fall"
"The Highway Girl","$10,000","Bouler","2008 Summer"
"The Shared Web","$380,000","Seattle","2010 Fall"
"The Tap Lab","$1,580,000","Boston","2011 Spring"
"Thinkfuse","$530,000","Seattle","2010 Fall"
"ThinkNear","$1,640,000","NYC","2011 Winter"
"Threat Stack","$9,100,000","Cloud","2013 Winter"
"TouchBase","$110,000","Seattle","2014 Fall"
"ToVieFor","$10,000","NYC","2011 Winter"
"TradingView","$660,000","Chicago","2013 Spring"
"Tred","$2,280,000","Seattle","2012 Fall"
"TriggerMail","$7,110,000","NYC","2013 Spring"
"TruantToday","$10,000","Boulder","2011 Summer"
"TrueAbility","$4,050,000","Cloud","2013 Winter"
"TrueFacet","$110,000","Seattle","2014 Fall"
"Tryum","$20,000","Barclays",2014
"TutorialTab","$10,000","Boston","2010 Spring"
"Tutum","$2,660,000","NYC","2014 Spring"
"TuvaLabs","$170,000","Kaplan",2014
"TVBeat","$2,110,000","London","2013 Fall"
"Twigtale","$120,000","Disney",2014
"Tyffon","$110,000","Disney",2014
"UberSense","$2,460,000","Boston","2012 Spring"
"UBI Interactive","$120,000","Microsoft Kinect",2012
"Urtak","$510,000","NYC","2011 Summer"
"Using Miles","$3,010,000","Bouler","2008 Summer"
"Uvize","$20,000","Kaplan",2013
"Vanilla Forums","$1,010,000","Boulder","2009 Summer"
"VerbalizeIt","$2,340,000","Boulder","2012 Summer"
"Verificient Technologies","$1,820,000","Kaplan",2013
"VetCloud","$110,000","London","2013 Fall"
"Vetted","$110,000","Seattle","2013 Fall"
"Vidmaker","$910,000","Cloud","2012 Winter"
"Vieweet","$170,000","Barclays",2014
"Vizify","$1,420,000","Seattle","2011 Fall"
"Voxon","$20,000","Microsoft Kinect",2012
"Wander","$1,210,000","NYC","2012 Summer"
"Wantworthy","$1,010,000","NYC","2011 Summer"
"WebCurfew","$460,000","Chicago","2013 Spring"
"WeDeliver","$110,000","Chicago","2014 Spring"
"Weespring","$700,000","NYC","2013 Spring"
"Wellhire","$210,000","Boulder","2014 Summer"
"Which Ventures","#N/A","#N/A","#N/A"
"WOO","$110,000","Boston","2014 Winter"
"WorkMob","$110,000","Boston","2014 Winter"
"World Blender","$10,000","Seattle","2010 Fall"
"Wunder","$110,000","Boulder","2014 Summer"
"Wymsee","$2,130,000","Boston","2012 Fall"
"Yosko","$120,000","Sprint",2014
"Zagster","$2,910,000","Boston","2012 Spring"
"Ziptask","$110,000","Cloud","2013 Winter"
"Zzish","$120,000","London","2014 Spring"
